Lang Class,Lang Subclass,Train Size,Model,Embd Dim,EarlyStop,Round #,Test Set,Accuracy,Recall,Precision
SL,SL4,1k,s-rnn,10,False,1,Test2,0.8349999785423279,0.8349999785423279,0.8349999785423279
SL,SL4,1k,s-rnn,10,True,1,Test1,0.8930000066757202,0.8930000066757202,0.8930000066757202
SL,SL4,1k,s-rnn,10,True,1,Test2,0.8289999961853027,0.8289999961853027,0.8289999961853027
SL,SL4,1k,s-rnn,10,False,2,Test1,0.8809999823570251,0.8809999823570251,0.8809999823570251
SL,SL4,1k,s-rnn,10,False,2,Test2,0.8230000138282776,0.8230000138282776,0.8230000138282776
SL,SL4,1k,s-rnn,10,True,2,Test1,0.8820000290870667,0.8820000290870667,0.8820000290870667
SL,SL4,1k,s-rnn,10,True,2,Test2,0.8240000009536743,0.8240000009536743,0.8240000009536743
SL,SL4,1k,s-rnn,10,False,3,Test1,0.8949999809265137,0.8949999809265137,0.8949999809265137
SL,SL4,1k,s-rnn,10,False,3,Test2,0.8370000123977661,0.8370000123977661,0.8370000123977661
SL,SL4,1k,s-rnn,10,True,3,Test1,0.890999972820282,0.890999972820282,0.890999972820282
SL,SL4,1k,s-rnn,10,True,3,Test2,0.8360000252723694,0.8360000252723694,0.8360000252723694
SL,SL4,1k,s-rnn,30,False,1,Test1,0.8840000033378601,0.8840000033378601,0.8840000033378601
SL,SL4,1k,s-rnn,30,False,1,Test2,0.8240000009536743,0.8240000009536743,0.8240000009536743
SL,SL4,1k,s-rnn,30,True,1,Test1,0.8640000224113464,0.8640000224113464,0.8640000224113464
SL,SL4,1k,s-rnn,30,True,1,Test2,0.7960000038146973,0.7960000038146973,0.7960000038146973
SL,SL4,1k,s-rnn,30,False,2,Test1,0.8320000171661377,0.8320000171661377,0.8320000171661377
SL,SL4,1k,s-rnn,30,False,2,Test2,0.7689999938011169,0.7689999938011169,0.7689999938011169
SL,SL4,1k,s-rnn,30,True,2,Test1,0.8809999823570251,0.8809999823570251,0.8809999823570251
SL,SL4,1k,s-rnn,30,True,2,Test2,0.7829999923706055,0.7829999923706055,0.7829999923706055
SL,SL4,1k,s-rnn,30,False,3,Test1,0.8410000205039978,0.8410000205039978,0.8410000205039978
SL,SL4,1k,s-rnn,30,False,3,Test2,0.7620000243186951,0.7620000243186951,0.7620000243186951
SL,SL4,1k,s-rnn,30,True,3,Test1,0.8730000257492065,0.8730000257492065,0.8730000257492065
SL,SL4,1k,s-rnn,30,True,3,Test2,0.8029999732971191,0.8029999732971191,0.8029999732971191
SL,SL4,1k,s-rnn,100,False,1,Test1,0.8259999752044678,0.8259999752044678,0.8259999752044678
SL,SL4,1k,s-rnn,100,False,1,Test2,0.7620000243186951,0.7620000243186951,0.7620000243186951
SL,SL4,1k,s-rnn,100,True,1,Test1,0.8489999771118164,0.8489999771118164,0.8489999771118164
SL,SL4,1k,s-rnn,100,True,1,Test2,0.7789999842643738,0.7789999842643738,0.7789999842643738
SL,SL4,1k,s-rnn,100,False,2,Test1,0.8220000267028809,0.8220000267028809,0.8220000267028809
SL,SL4,1k,s-rnn,100,False,2,Test2,0.7509999871253967,0.7509999871253967,0.7509999871253967
SL,SL4,1k,s-rnn,100,True,2,Test1,0.8550000190734863,0.8550000190734863,0.8550000190734863
SL,SL4,1k,s-rnn,100,True,2,Test2,0.8080000281333923,0.8080000281333923,0.8080000281333923
SL,SL4,1k,s-rnn,100,False,3,Test1,0.8389999866485596,0.8389999866485596,0.8389999866485596
SL,SL4,1k,s-rnn,100,False,3,Test2,0.7689999938011169,0.7689999938011169,0.7689999938011169
SL,SL4,1k,s-rnn,100,True,3,Test1,0.8489999771118164,0.8489999771118164,0.8489999771118164
SL,SL4,1k,s-rnn,100,True,3,Test2,0.7990000247955322,0.7990000247955322,0.7990000247955322
SL,SL4,10k,lstm,10,False,1,Test1,0.9635999798774719,0.9635999798774719,0.9635999798774719
SL,SL4,10k,lstm,10,False,1,Test2,0.8948000073432922,0.8948000073432922,0.8948000073432922
SL,SL4,10k,lstm,10,True,1,Test1,0.9661999940872192,0.9661999940872192,0.9661999940872192
SL,SL4,10k,lstm,10,True,1,Test2,0.849399983882904,0.849399983882904,0.849399983882904
SL,SL4,10k,lstm,10,False,2,Test1,0.9660999774932861,0.9660999774932861,0.9660999774932861
SL,SL4,10k,lstm,10,False,2,Test2,0.8924000263214111,0.8924000263214111,0.8924000263214111
SL,SL4,10k,lstm,10,True,2,Test1,0.9596999883651733,0.9596999883651733,0.9596999883651733
SL,SL4,10k,lstm,10,True,2,Test2,0.9092000126838684,0.9092000126838684,0.9092000126838684
SL,SL4,10k,lstm,30,False,1,Test1,0.9998999834060669,0.9998999834060669,0.9998999834060669
SL,SL4,10k,lstm,30,False,1,Test2,0.9987000226974487,0.9987000226974487,0.9987000226974487
SL,SL4,10k,lstm,30,True,1,Test1,0.9975000023841858,0.9975000023841858,0.9975000023841858
SL,SL4,10k,lstm,30,True,1,Test2,0.9864000082015991,0.9864000082015991,0.9864000082015991
SL,SL4,10k,lstm,30,False,2,Test1,0.9994000196456909,0.9994000196456909,0.9994000196456909
SL,SL4,10k,lstm,30,False,2,Test2,0.9998000264167786,0.9998000264167786,0.9998000264167786
SL,SL4,10k,lstm,30,True,2,Test1,0.9991999864578247,0.9991999864578247,0.9991999864578247
SL,SL4,10k,lstm,30,True,2,Test2,0.9986000061035156,0.9986000061035156,0.9986000061035156
SL,SL4,10k,lstm,100,False,1,Test1,1.0,1.0,1.0
SL,SL4,10k,lstm,100,False,1,Test2,1.0,1.0,1.0
SL,SL4,10k,lstm,100,True,1,Test1,0.9998999834060669,0.9998999834060669,0.9998999834060669
SL,SL4,10k,lstm,100,True,1,Test2,0.9990000128746033,0.9990000128746033,0.9990000128746033
SL,SL4,10k,lstm,100,False,2,Test1,1.0,1.0,1.0
SL,SL4,10k,lstm,100,False,2,Test2,1.0,1.0,1.0
SL,SL4,10k,lstm,100,True,2,Test1,0.9998999834060669,0.9998999834060669,0.9998999834060669
SL,SL4,10k,lstm,100,True,2,Test2,0.9997000098228455,0.9997000098228455,0.9997000098228455
SL,SL4,10k,s-rnn,10,False,1,Test1,0.9886999726295471,0.9886999726295471,0.9886999726295471
SL,SL4,10k,s-rnn,10,False,1,Test2,0.9506999850273132,0.9506999850273132,0.9506999850273132
SL,SL4,10k,s-rnn,10,True,1,Test1,0.8666999936103821,0.8666999936103821,0.8666999936103821
SL,SL4,10k,s-rnn,10,True,1,Test2,0.7922000288963318,0.7922000288963318,0.7922000288963318
SL,SL4,10k,s-rnn,10,False,2,Test1,0.9196000099182129,0.9196000099182129,0.9196000099182129
SL,SL4,10k,s-rnn,10,False,2,Test2,0.7953000068664551,0.7953000068664551,0.7953000068664551
SL,SL4,10k,s-rnn,10,True,2,Test1,0.9535999894142151,0.9535999894142151,0.9535999894142151
SL,SL4,10k,s-rnn,10,True,2,Test2,0.895799994468689,0.895799994468689,0.895799994468689
SL,SL4,10k,s-rnn,30,False,1,Test1,0.9977999925613403,0.9977999925613403,0.9977999925613403
SL,SL4,10k,s-rnn,30,False,1,Test2,0.9915000200271606,0.9915000200271606,0.9915000200271606
SL,SL4,10k,s-rnn,30,True,1,Test1,0.9925000071525574,0.9925000071525574,0.9925000071525574
SL,SL4,10k,s-rnn,30,True,1,Test2,0.9812999963760376,0.9812999963760376,0.9812999963760376
SL,SL4,10k,s-rnn,30,False,2,Test1,0.9998000264167786,0.9998000264167786,0.9998000264167786
SL,SL4,10k,s-rnn,30,False,2,Test2,1.0,1.0,1.0
SL,SL4,10k,s-rnn,30,True,2,Test1,0.9973999857902527,0.9973999857902527,0.9973999857902527
SL,SL4,10k,s-rnn,30,True,2,Test2,0.9925000071525574,0.9925000071525574,0.9925000071525574
SL,SL4,10k,s-rnn,100,False,1,Test1,0.9997000098228455,0.9997000098228455,0.9997000098228455
SL,SL4,10k,s-rnn,100,False,1,Test2,0.9987000226974487,0.9987000226974487,0.9987000226974487
SL,SL4,10k,s-rnn,100,True,1,Test1,0.9994999766349792,0.9994999766349792,0.9994999766349792
SL,SL4,10k,s-rnn,100,True,1,Test2,0.9970999956130981,0.9970999956130981,0.9970999956130981
SL,SL4,10k,s-rnn,100,False,2,Test1,0.9994999766349792,0.9994999766349792,0.9994999766349792
SL,SL4,10k,s-rnn,100,False,2,Test2,0.9983999729156494,0.9983999729156494,0.9983999729156494
SL,SL4,10k,s-rnn,100,True,2,Test1,0.9987999796867371,0.9987999796867371,0.9987999796867371
SL,SL4,10k,s-rnn,100,True,2,Test2,0.992900013923645,0.992900013923645,0.992900013923645
SL,SL4,100k,lstm,10,False,1,Test1,0.9998999834060669,0.9998999834060669,0.9998999834060669
SL,SL4,100k,lstm,10,False,1,Test2,0.9995999932289124,0.9995999932289124,0.9995999932289124
SL,SL4,100k,lstm,10,True,1,Test1,0.9874299764633179,0.9874299764633179,0.9874299764633179
SL,SL4,100k,lstm,10,True,1,Test2,0.9732800126075745,0.9732800126075745,0.9732800126075745
SL,SL4,100k,lstm,30,False,1,Test1,1.0,1.0,1.0
SL,SL4,100k,lstm,30,False,1,Test2,1.0,1.0,1.0
SL,SL4,100k,lstm,30,True,1,Test1,0.9999200105667114,0.9999200105667114,0.9999200105667114
SL,SL4,100k,lstm,30,True,1,Test2,0.9999399781227112,0.9999399781227112,0.9999399781227112
SL,SL4,100k,lstm,100,False,1,Test1,1.0,1.0,1.0
SL,SL4,100k,lstm,100,False,1,Test2,0.9999899864196777,0.9999899864196777,0.9999899864196777
SL,SL4,100k,lstm,100,True,1,Test1,1.0,1.0,1.0
SL,SL4,100k,lstm,100,True,1,Test2,1.0,1.0,1.0
SL,SL4,100k,s-rnn,10,False,1,Test1,0.9970899820327759,0.9970899820327759,0.9970899820327759
SL,SL4,100k,s-rnn,10,False,1,Test2,0.9930400252342224,0.9930400252342224,0.9930400252342224
SL,SL4,100k,s-rnn,10,True,1,Test1,0.9939600229263306,0.9939600229263306,0.9939600229263306
